Name,Sale Price,Category,Author,ISBN10,Pages,Publisher,Language,Dimensions,Weight,Rating,id
The Silmarillion,20.8,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,"Tolkien, J. R. R.",8135048,365.0,Houghton Mifflin Harcourt,English,8.25 x 5.50 x 1.25 Inches,,5.0,1582
ORC KING,7.79,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,"SALVATORE, R.A.",6950467,416.0,Wizards of the Coast,English,7.00 x 4.00 x 1.00 Inches,,,1583
LUKE'S CUT,4.02,Books > Literature & Fiction > Fiction > Romance > Western,"MCCARTY, SARAH",373804237,384.0,Harlequin Books,English,4.19 x 6.63 x 0.94 Inches,,,1584
Captain Vorpatril's Alliance,9.54,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,Lois McMaster Bujold,6736983,608.0,Baen,English,6.75 x 4.19 x 1.30 Inches (US),,,1585
The Innocent,9.14,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense","COBEN, HARLAN",045121577X,528.0,Penguin Group USA,English,7.75 x 4.50 x 1.50 Inches,,,1586
Kris Longknife,7.19,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Military,Mike Shepherd,5277380,400.0,AcePenguin Publishing Group,English,6.75 x 4.15 x 1.07 Inches (US),,,1587
Three Sign of Seven Trilogy,18.46,Books > Literature & Fiction > Fiction > Romance > Suspense > Best seller ranking: > # > 5470 >  > in > Books > # > 81 >  > in > Books > Romance > # > 2 >  > in > Books > Romance > Fantasy,"Roberts, Nora",5146015,1.0,Berkley Pub Group,English,7.00 x 4.25 x 2.75 Inches,,5.0,1588
The Exile,3.89,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Crime",James Patterson,316411108,144.0,"BookShotsLittle, Brown and Company",English,,,,1589
Swamp Sniper,11.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Women Sleuths","DeLeon, Jana",1940270103,266.0,Jana Deleon,English,5.25 x 0.56 x 8.00 Inches,,,1590
Illusion Town,5.98,Books > Literature & Fiction > Fiction > Romance > Paranormal,Jayne Castle,5155758,352.0,BerkleyPenguin Publishing Group,English,,,5.0,1591
Unfinished Tales,5.75,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,"Tolkien, J. R. R.",535711X,512.0,Random House,English,7.00 x 4.25 x 1.00 Inches,,5.0,1592
Brother Odd,9.1,Books > Literature & Fiction > Fiction > Horror > Best seller ranking: > # > 5026 >  > in > Books > # > 32 >  > in > Books > Mystery & Suspense > # > 17 >  > in > Books > Mystery & Suspense > Thrillers,"Koontz, Dean R.",034553302X,449.0,Random House,English,7.50 x 4.50 x 1.25 Inches,,5.0,1593
March of War,8.61,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,"Coles, Bennett R.",1783294272,336.0,Random House Inc,English,8.00 x 5.00 x 1.00 Inches,,,1594
THIS WAS A MAN,6.98,Books > Literature & Fiction > Fiction > Sagas,Jeffrey Archer,1250061644,560.0,St. Martin's PressSt. Martin's Paperbacks,English,7.50 x 105.92 x 1.20 Inches (US),,,1595
Dragonflight,7.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,"McCaffrey, Anne",5335468,320.0,Random House,English,6.75 x 4.25 x 1.00 Inches,,,1596
