Name,Sale Price,Category,Author,ISBN10,Pages,Publisher,Language,Dimensions,Weight,Rating,id
Beckoning Trails Hardcover ,,Books > Romance > Historical,Emilie Baker Loring,884113515,185.0,Amereon Ltd ,English,6 x 0.5 x 8.8 inches,9.6 ounces,5.0,2518
One Night,10.8,Books > Literature & Fiction > Women's Fiction,Jodi Ellen Malpas,1455559342,432.0,Forever ,English,5.2 x 1.1 x 8 inches,12 ounces,4.5,2519
Every Man Dies Alone,13.84,Books > Literature & Fiction > World Literature,Hans Fallada,1935554042,544.0,Melville House; 1 edition ,English,5.5 x 1.4 x 8.3 inches,1.1 pounds,4.6,2520
One Night,9.09,Books > Literature & Fiction > Women's Fiction,Jodi Ellen Malpas,1455559318,416.0,Forever ,English,5.5 x 1.2 x 8 inches,12 ounces,4.5,2521
Bloodfever,7.19,Books > Science Fiction & Fantasy > Fantasy,Karen Marie Moning,440240999,368.0,Dell ,English,4.2 x 1 x 6.9 inches,7.2 ounces,4.6,2522
The Broken Road,10.99,Books > Christian Books & Bibles > Literature & Fiction,Richard Paul Evans,1501111647,304.0,Simon & Schuster ,English,5 x 0.9 x 8 inches,13.6 ounces,4.7,2523
The Book of Us,11.39,"Books > Reference > Writing, Research & Publishing Guides",David Marshall Kate Marshall,078686477X,,Hachette Books ,English,5.8 x 0.8 x 8.5 inches,8.8 ounces,4.5,2524
Pelican Point,10.99,Books > Christian Books & Bibles > Literature & Fiction,Irene Hannon,800728807,368.0,Revell ,English,5.5 x 8.5 inches,10.7 ounces,,2525
Bad to the Bone The Dogfather,8.99,Books > Romance > Contemporary,Roxanne St. Claire,099810938X,364.0,South Street Publishing ,English,5 x 0.9 x 8 inches,1 pounds,4.9,2526
Before The After Series,8.99,Books > Literature & Fiction > Women's Fiction,Anna Todd,1501130706,352.0,Gallery Books ,English,5.3 x 0.9 x 8.2 inches,10.6 ounces,4.4,2527
Alaska Skies,7.99,Books > Literature & Fiction > Genre Fiction,Debbie Macomber,778330176,400.0,MIRA; Reissue edition ,English,4.2 x 1.1 x 6.6 inches,7 ounces,4.7,2528
Workhouse Angel Hardcover ,25.73,Books > Literature & Fiction > Genre Fiction,Holly Green,1785035681,400.0,Ebury Press ,English,5.5 x 1.4 x 8.8 inches,1.2 pounds,,2529
Story of O,9.59,Books > Literature & Fiction > Women's Fiction,Pauline Reage,345545346,240.0,Ballantine Books; 2/24/13 edition ,English,5.2 x 0.5 x 8 inches,6.4 ounces,3.5,2530
Twilight Hardcover ,11.29,Books > Teen & Young Adult > Literature & Fiction,Stephenie Meyer,316160172,544.0,Little Brown; 1st edition ,English,6 x 1.8 x 8.8 inches,1.4 pounds,4.6,2531
Ugly Love,11.14,Books > Literature & Fiction > Genre Fiction,Colleen Hoover,1476753180,336.0,Atria Books ,English,5.3 x 0.9 x 8.2 inches,9.1 ounces,4.7,2532
The Weaver's Daughter,10.99,Books > Christian Books & Bibles > Literature & Fiction,Sarah E. Ladd,718011880,368.0,Thomas Nelson ,English,5.5 x 1 x 8.4 inches,11.2 ounces,,2533
I Capture the Castle Paperback ,9.85,Books > Literature & Fiction > Genre Fiction,Dodie Smith,031231616X,343.0,St. Martin's Griffin; Reissue edition ,English,5.4 x 1 x 8.2 inches,9.6 ounces,4.3,2534
Cowboy Bold Longhorn Canyon,7.99,Books > Literature & Fiction > Women's Fiction,Carolyn Brown,1538744864,336.0,Forever ,English,,1.1 pounds,,2535
The Island,7.99,Books > Literature & Fiction > Genre Fiction,Elin Hilderbrand,316201170,512.0,"Reagan Arthur / Little, Brown; Reprint edition ",English,4.2 x 1.2 x 7 inches,8 ounces,4.4,2536
The Angry Tide Poldark,11.65,Books > Literature & Fiction > Genre Fiction,Winston Graham,330463306,624.0,Pan Macmillan; Unabridged edition edition ,English,5 x 1.5 x 8 inches,14.9 ounces,4.7,2537
I've Got Your Number,13.47,Books > Literature & Fiction > Women's Fiction,Sophie Kinsella,385342071,448.0,Dial Press Trade Paperback; Reprint edition ,English,5.2 x 0.9 x 8 inches,12 ounces,4.4,2538
"Blue Dahlia In the Garden, Book 1",5.98,Books > Literature & Fiction > Women's Fiction,Nora Roberts,051513855X,384.0,Berkley; First Paperback Edition edition ,English,4.1 x 1 x 6.8 inches,6.4 ounces,4.7,2539
Nora Roberts Chesapeake Bay CD Collection,14.99,Books > Romance > Romantic Suspense,Nora Roberts,1511335645,,Brilliance Audio; Abridged edition ,English,5 x 1.1 x 5.5 inches,10.4 ounces,4.8,2540
Point of Retreat,9.97,Books > Literature & Fiction > Genre Fiction,Colleen Hoover,1476715920,320.0,Atria Books; Original edition ,English,5.3 x 0.9 x 8.2 inches,7.2 ounces,4.7,2541
In the Garden Trilogy Box Set Mass Market Paperback ,20.09,Books > Literature & Fiction > Women's Fiction,Nora Roberts,515142360,,Berkley; Box edition ,English,4.2 x 3.2 x 6.9 inches,1.2 pounds,4.7,2542
Getaway,5.98,Books > Romance > Contemporary,Nora Roberts,1335005684,496.0,Silhouette; Reissue edition ,English,4.1 x 1.3 x 6.6 inches,8.5 ounces,,2543
Slightly South of Simple,11.34,Books > Literature & Fiction > Genre Fiction,Kristy Woodson Harvey,1501158058,400.0,Gallery Books ,English,5.3 x 1 x 8.2 inches,11.2 ounces,4.4,2544
Angel Falls,5.23,Books > Literature & Fiction > Genre Fiction,Kristin Hannah,449006344,400.0,Ballantine Books; Reissue edition ,English,4.1 x 1.1 x 6.8 inches,7.2 ounces,4.2,2545
Adulterio Spanish Edition,13.93,Books > Literature & Fiction > Genre Fiction,Paulo Coelho,1101872233,272.0,Vintage Espanol ,Spanish,5.2 x 0.8 x 8 inches,9.9 ounces,4.2,2546
Blooming Into Life Paperback ,14.99,Books > Literature & Fiction > Women's Fiction,Kristie Booker,099982340X,296.0,Cricket Press; 1 edition ,English,5.2 x 0.7 x 8 inches,14.4 ounces,5.0,2547
A Shade Of Vampire 6,12.99,Books > Teen & Young Adult > Science Fiction & Fantasy,Bella Forrest,1496169484,276.0,CreateSpace Independent Publishing Platform ,English,6 x 0.7 x 9 inches,1.1 pounds,4.6,2548
Beautiful Tempest,6.77,Books > Literature & Fiction > United States,Johanna Lindsey,1501162217,448.0,Pocket Books ,English,4.1 x 1 x 6.8 inches,5.6 ounces,4.4,2549
Debbie Macomber CD Collection,14.99,Books > Romance > Contemporary,Debbie Macomber,1511335661,,Brilliance Audio; Abridged edition ,English,6.5 x 1.1 x 5.5 inches,12 ounces,4.5,2550
Every Thug Needs A Lady Mass Market Paperback ,6.99,Books > Literature & Fiction > United States,Wahida Clark,758212895,384.0,Kensington ,English,4.3 x 1 x 6.9 inches,6.4 ounces,4.8,2551
Fast Burn Body Armor,7.99,Books > Romance > Contemporary,Lori Foster,037378998X,384.0,HQN ,English,4.1 x 1 x 6.6 inches,6.6 ounces,,2552
"Claim Me, Cowboy Copper Ridge",5.25,Books > Literature & Fiction > Genre Fiction,Maisey Yates,1335971416,224.0,Harlequin Desire ,English,4.1 x 0.6 x 6.6 inches,3.8 ounces,,2553
Shattered Addicted Trilogy,12.38,Books > Romance > Contemporary,S. Nelson,1514347709,308.0,CreateSpace Independent Publishing Platform; 1 edition ,English,6 x 0.8 x 9 inches,1.2 pounds,4.3,2554
"Entwined with You Crossfire, Book 3",10.39,Books > Literature & Fiction > Women's Fiction,Sylvia Day,425263924,368.0,Berkley; 1 edition ,English,5.5 x 1 x 8.2 inches,12 ounces,4.1,2555
The Stars Above Northumberland Paperback ,16.99,Books > Romance > Historical,Anita Stansfield,1524404977,240.0,Covenant Communications ,English,8.9 x 6 x 0.7 inches,10.4 ounces,4.4,2556
Prince's Gambit The Captive Prince Trilogy,13.47,Books > Gay & Lesbian > Literature & Fiction,C. S. Pacat,425274276,416.0,Berkley; Reprint edition ,English,5.1 x 0.8 x 8 inches,11.4 ounces,4.8,2557
Misadventures of a City Girl Misadventures Series,9.99,Books > Literature & Fiction > Women's Fiction,Meredith Wild Chelle Bliss,1943893403,300.0,Waterhouse Press ,English,6 x 0.5 x 8.5 inches,11.4 ounces,4.5,2558
Jamaica Inn Paperback ,10.28,Books > Literature & Fiction > Genre Fiction,Daphne Du Maurier,006240489X,352.0,William Morrow Paperbacks; Reprint edition ,English,5.3 x 0.8 x 8 inches,12.6 ounces,4.2,2559
Combust The Everyday Heroes,14.33,Books > Romance > Contemporary,K. Bromberg,1942832109,314.0,"JKB Publishing, LLC ",English,6 x 0.7 x 9 inches,1.2 pounds,4.9,2560
Walking on Water,8.24,Books > Christian Books & Bibles > Literature & Fiction,Richard Paul Evans,1451628323,320.0,Simon & Schuster; Reprint edition ,English,5 x 0.9 x 8 inches,8.5 ounces,4.8,2561
Finding Rebecca Paperback ,10.11,Books > Literature & Fiction > Genre Fiction,Eoin Dempsey,1477826106,310.0,Lake Union Publishing ,English,5.5 x 1 x 8.2 inches,15.5 ounces,4.4,2562
The City Baker's Guide to Country Living,11.0,Books > Literature & Fiction > Genre Fiction,Louise Miller,1101981210,352.0,Penguin Books; Reprint edition ,English,5.1 x 0.9 x 7.8 inches,8.8 ounces,4.6,2563
Send Down the Rain,18.73,Books > Christian Books & Bibles > Literature & Fiction,Charles Martin,718084748,352.0,Thomas Nelson ,English,,1.7 pounds,,2564
Water from My Heart,10.19,Books > Literature & Fiction > Women's Fiction,Charles Martin,1455554685,384.0,Center Street; Reprint edition ,English,5.2 x 1 x 8 inches,12.6 ounces,4.8,2565
The Endless Beach,15.99,Books > Literature & Fiction > Genre Fiction,Jenny Colgan,62849999,416.0,William Morrow Paperbacks ,English,5.3 x 0.9 x 8 inches,10.4 ounces,5.0,2566
